Tweet,HS,Abusive,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
musuh orang kafir selagi ganggu agama rapat orang kafir perangai dakwah islam,0,0,0,0,0,0,0
pilih calon wakil presiden jokowi saran pe imbang arus populisme islam,0,0,0,0,0,0,0
puisi karya lahir orde suara suara orang orang te indas gerak reformasi orde,0,0,0,0,0,0,0
selamat kerja rebut tambang emas papua cengkeram asing bravo ,0,0,0,0,0,0,0
80 rakyat jawa barat istikamah dukung prabowo presiden 2019 calon wakil presiden serah ai adil sejahtera,0,0,0,0,0,0,0
arab saudi pimpin bani saud nyata bobot bibit bebetnya utama to banding tau terima kasih om cerah,0,0,0,0,0,0,0
acara televisi tani malam minggu,0,0,0,0,0,0,0
hati hati sakit onta gila pasu daster kampret oi hijau kemarin rusuh rusuh markas komando brigade mobil ya coba omong mulut langsung bergedel,1,1,0,0,0,0,1
asalamualaikum ya video hina presiden angkat indonesia lawyers club biar tau adil terima kasih wassalammualaykum,0,0,0,0,0,0,0
fardu kifayah hukum wajib ajar islam pilih presiden utus kalang santri sokong ulama maju pimpin negeri,0,0,0,0,0,0,0
oh kayak nona anak jalan km anak gembel ya,1,1,0,0,0,0,0
tolak berita hoaks sukses pilih kepala daerah wilayah kota,0,0,0,0,0,0,0
ya kafir suka urus urus wkwk,1,0,1,0,0,0,0
cebong kasih fakta bilang dusta cebong kasih dusta bilang realita cebonger sih bikin gemas ,1,1,0,0,0,0,1
75 24 wajah wajah orang kafir muram,0,0,0,0,0,0,0
cebong lihat duit pura pura budek tolak lupa lihat budek uniform resource locator,1,1,0,0,1,0,0
cinta monyet,0,0,0,0,0,0,0
berondong kontol cakap crot uniform resource locator,1,1,0,0,0,0,0
udik takjub ngileeee canggih iya mobil asa kit reader knight rider starring david hasselhoff marah rem,1,1,0,0,0,0,0
oh iya seram ya bang sarap,1,1,0,0,1,0,0
iklan promo cashback aplikasinyya kode hasil cashback masuk masuk bilang salah sistem promo bodoh oi salah sistem urus cashback 20 janji uniform resource locator,1,1,0,0,0,0,0
jejak digital dungu,1,1,0,0,0,0,1
islam nusantara tetes telur kodok sih said agil kolektor cebong bang hidup sari sari comberan hasil buang koar koar islam nusantara ,1,1,1,0,0,0,0
ongkos cetak uang murah cetak uang cadang emas sembarang sedih nih guru ekonomi ai politik oposisi mentwit,0,0,0,0,0,0,0
wahabi takfiri gurem bro bacot doang gede minggat suriah gabung isis najis bani takfiri,1,1,1,0,0,0,0
ganyang ai komunis indonesia hapus lambang ai komunis indonesia film intimidasi komunis antek ai komunis indonesia sepe i hantu,1,0,0,1,0,0,0
nih utang era jokowi bencong diam sih gembel warung internet banci kaleng ,1,1,0,0,0,1,0
survei pulau pulau pencil nabire papua lupa buaya muara situ gue harap allah jaga selamat ,0,0,0,0,0,0,0
program tunggu,0,0,0,0,0,0,0
kerja dunia engkau hidup amal akhirat esok engkau tiada,0,0,0,0,0,0,0
iman allah subhanahu wa taala dungu biadab dungu biadab bangsa,1,1,1,0,0,0,0
faktor alam rawan faktor non teknis sepe i lempar hadap kakak lintas,0,0,0,0,0,0,0
gilir bela ahok tau kafir tuhan urus sorga kapling liberal kocak inus gila,1,1,1,0,0,0,0
indonesia alhamdulillah ya allah selamat anak anak thailand thailand selamat manusia manusia kafir tuhan kontol,1,1,0,0,0,1,0
irene ngewe kasar yuk gue kasih hadiah ulang manja memek nya kelojot,1,1,0,0,0,0,0
a orang enak ajak curhat setia romantis,0,0,0,0,0,0,0
sesat cari jalan pagi maktab gaya jalan sho cut situ tutup konstruksi nya nih hambar gila turn turn uniform resource locator,0,0,0,0,0,0,0
dialog neo oracle the matrix oracle orang kuasa neo hening oracle kuasa,0,0,0,0,0,0,0
memek bulu mantap jilat,1,1,0,0,0,0,0
adopsi cerdas potensi ekonomi digital capai 23 triliun dolar as,0,0,0,0,0,0,0
bicara sylvi lihat oke debat ahok sylvi langsung kuat goblok,1,1,0,0,0,0,1
cair ya anjing syiah kenyang makan uang rezim ai komunis indonesia dasar syiah haram jadah anjing ,1,1,1,0,0,0,0
jaman susilo bambang yudhoyono korupsi proyek mangkrak penak mbah,1,0,0,0,0,0,1
ya ribet sekolah muhammadiyah papua siswa kristen murid paksa pakai jilbab guru jilbab muslimah,0,0,0,0,0,0,0
alas fitnah serang presiden isu negeri kait bodoh fasik struktur goblok uniform resource locator,1,1,0,0,0,0,1
monyet turun mukim warga cibadak sukabumi uniform resource locator,0,0,0,0,0,0,0
orang mang salah pilih kalah menang rezim sengsara rakyat komunis,1,0,0,1,0,0,0
panik ahok sih kutil babi tumbang putar cuap cuap mu media sosial pengaruh,1,1,0,0,0,0,1
iya akun hutang negara pimpin kalah gunung sahari,1,0,0,0,0,0,1
langgar undang undang,0,0,0,0,0,0,0
ai sontoloyo,1,1,0,0,0,0,1
perintah daftar proyek strategis nasional realisasi sih,0,0,0,0,0,0,0
jomlo jablay,1,1,0,0,0,0,0
dukung deh ahok dukung rakyat paham cerdas bual pimpin uniform resource locator,1,0,0,0,0,0,1
masuk akal bilang bagus akal sehat bilang malas bejat maju sak rumah losssss mundur takut,1,1,0,0,0,0,1
dasar tau fiksi unduh buku gampang dasar perek harga ratus ,1,1,0,0,0,1,0
ya pokok sinting,1,1,0,0,0,0,0
milik kampret bodoh otak kampret,1,1,0,0,0,0,1
pena tutup ku kayak cacat enak lihat tinta habis pena buang tutup ,0,0,0,0,0,0,0
twit bikin warganet suuzan ngentot,1,1,0,0,0,1,0
kirim foto kontol full te arik video call,1,1,0,0,0,0,0
pakai jamin peduli bos jatuh kayak first travel booming laku korban tenggelam orang indonesia budek riak nge i,1,1,0,0,1,0,0
pintar bacot ya lawan nya bu sri ,1,1,0,0,0,0,1
ganti mudah mudah ekonomi sulit,1,0,0,0,0,0,1
pura pura buta ,0,0,0,0,0,0,0
luat orang kedai sombong gaji customer sok muka perangai jaga nak kena ,1,1,0,0,1,0,0
jaman kuliah menu ampas enak magelang masak mas,0,0,0,0,0,0,0
rahasia bong koruptor rampok laku maksiat laku bisnis maksiat kaum lgbt jilat dukun sesat dukun cabul nabila bla bla gabung bani cebong,1,1,0,0,0,1,0
pimpin rakyat,1,0,0,0,0,0,1
indonesia lawyers club prabowo serang minggu indonesia lawyers club mutu hadir orang gila kuping ,1,1,0,0,1,0,0
kasar sih cocot ki,1,1,0,0,0,0,1
sih kutil babi leceh pribumi umat islam iklan ahok jahat,1,1,0,0,0,0,1
8 ketemu matematika hi gue goblok banget,1,1,0,0,0,0,0
mayoritas etnis cina daerah khusus kota solid dukung nista agama islam dendam nasionalis,1,0,1,0,0,0,0
kunjung menteri agama ban islam dungu biadab umat,1,1,1,0,0,0,0
serah gue gue maki cebong haha lucu banget cebong kafir nih sok iya data lihat pintar mata cebong cebong haha sadar ceplos maki agama i,1,1,1,0,0,0,0
saracen narkoba jaka a pimpin anies uniform resource locator,1,0,0,0,0,0,1
cc miss ann ai kalah ainya ajak mu ribu,1,0,0,0,0,0,1
2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo laku otoriter,1,1,0,0,0,0,1
susah ya club suppo ernya mental lapor polisi pecun amp,1,1,0,0,0,0,0
kritik kritik reaktif nama agama pilih diam nyata diam bukti sih bajak agama,1,0,1,0,0,0,0
eet md3 wakil perintah hadir bahas cuci kaki ajar ya,0,0,0,0,0,0,0
deklarasi pilih kepala daerah 2018 aman anti hoaks pb jabon,0,0,0,0,0,0,0
sukmawati bilang suara azan merdu kuping congean budek ,1,1,1,0,1,0,0
tuan guru bajang indonesia 2019 tuan guru bajang promosi pariwisata halal dunia cover tuan guru bajang tuang guru bajang 2019 ganti presiden,0,0,0,0,0,0,0
sarap cucu gudang,1,1,0,0,0,0,0
nya sipit iya bikin grup,0,0,0,0,0,0,0
prabowo bukti libat culi uniform resource locator,1,0,0,0,0,0,1
congor sesuai isi hati silaturahmi alumni 212 tuju umur haha umur kuasa munafik,1,1,0,0,0,0,1
tenaga kerja asing cina manja,1,0,0,1,0,0,0
suku mosuo batas cina tibet suku laku poliandri wanita suam kepala keluarga pegang aneh dunia,0,0,0,0,0,0,0
tumbang jokowi radikal tumbang rezim tirani lengser jokowi,1,0,0,0,0,0,1
babi buntut hihi unicorn,0,0,0,0,0,0,0
cek yuk komisi berantas korupsi periksa gubernur sumatra utara calon wakil gubernur ijeck sah komisi berantas korupsi periksa gubernur sumatra,0,0,0,0,0,0,0
iblis pesta amarah dada manusia islam ajar dakwah santun lemah lembut penu ,0,0,0,0,0,0,0
muak enak 2019 jokowi selesai habis kriminalisasi hadap umat islam,1,0,1,0,0,0,0
ahok pilih pimpin dasar agama langgar konstitusi babi bungkus congor pecah belah umat agama,1,1,0,0,0,0,1
bajing bangsat sombong banget,1,1,0,0,0,0,1
allah subhanahu wa taala ajak gaul lukman suka dengar orang aji utama ayat penggal kafir cocok cocok penis,1,1,1,0,0,0,0
gue lipat lipat nogt pimpin sayang ya nih pergi onta,0,0,0,0,0,0,0
cebong tetas 7 rr,1,1,0,0,0,0,1
a i pe anyaanmu tunggu 2 menit ya a i bencong gembel warung internet haha,1,1,0,0,0,1,0
tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,1,1,0,0,1,0,0
dukung rezim warrrbisah,0,0,0,0,0,0,0
allaahu yubarik fiikum ya syaikhuna alfadli a inya lukman menteri republik indonesia,0,0,0,0,0,0,0
sih te awa mulu bangsat,1,1,0,0,0,0,1
goblok pelihara,1,1,0,0,0,0,0
bangsat banci ,1,1,0,0,0,1,0
ayo zul kritik,0,0,0,0,0,0,0
bajing tengik,1,1,0,0,0,0,0
pasal babi baca last twit uniform resource locator,1,1,0,0,0,0,0
alami perempuan perhati anak anak keluarga gerak perempuan fokus sejahtera keluarga a inya sejahtera rakyat jamin selamat kakak,0,0,0,0,0,0,0
beli temu barang beli gerai hauz sesuai cacat beli hauz jamin barang harga 7 syarat laku haus mini kuiz hazid kunyuk kawan,0,0,0,0,0,0,0
mentang mentang kuasa ambil wenang yudisial sarap,1,1,0,0,1,0,0
bro lupa jenguk gara gara asma dewi menang,1,0,0,0,0,0,1
 lihat bagus jamban jamban jamban keluarga 2 juta jamban kerja 30 kakak 30 jamban bangun buah sanitasi keluarga sehat lingkung kakak,0,0,0,0,0,0,0
nyata culun pasang lovren mignolet ,1,1,0,0,0,0,0
yahudi lobi wali allegation out qadiani lobi wali in,0,0,0,0,0,0,0
bilang presiden suha o lengser negeri kacau nyata jokowi rusak indonesia,1,0,0,0,0,0,1
media indonesia cina komunis,1,0,0,1,0,0,0
kunti bau menyan ya,0,0,0,0,0,0,0
 pergi kerja kerja cancel asing banget sih bunyi nya kelas cancel kerja cancel ,0,0,0,0,0,0,0
banget sih alucard,1,1,0,0,0,0,1
ilmu ajar buruk akhlak ajar bekal anak anak ilmu akhlak tuan guru bajang zainul majdi tuan guru bajang indonesia tuan guru bajang presiden 2019,0,0,0,0,0,0,0
kristen prinsip enkulturasi agama katolik indonesia kristen indonesia asing islam kental arab,0,0,0,0,0,0,0
sabtu 21 4 2018 pagi masyarakat adat badui jalan tuju kantor gubernur banten kawasan pusat perintah provinsi banten kawasan pusat perintah provinsi banten curug kota serang seba badui 2018 direct message,0,0,0,0,0,0,0
puji asing asing haram kafir munafik hnw,1,1,1,0,0,0,0
islam sontoloyo anna puasa syawal lebaran suro raya setan sepe i laut selatan gunung kawi,1,1,1,0,0,0,0
bts unggul presiden korea selatan polling 100 baca majalah time,0,0,0,0,0,0,0
pilih cebong otak intelligence quotient 200 kolam,1,1,0,0,0,0,1
munafik banget nyaman munafik banget putus free nini hati bawa asa indomie te inggal,0,0,0,0,0,0,0
biografi calon ketua dema universitas islam negeri syarif hidayatullah jaka a no urut 3,0,0,0,0,0,0,0
gue katolik asa negeri katolik kristen buddha hindu islam haha,0,0,0,0,0,0,0
suka nyinyir antek asing asing suka indonesia maju hasil,0,0,0,0,0,0,0
tau tanda kuasa 51 saham private finance initiative teriak pro asing ketua majelis musyawarat rakyat laku paksa private finance initiative kasih 51 saham indonesia,0,0,0,0,0,0,0
pro yahudi,0,0,0,0,0,0,0
gubernur pribumi ya 2019 ganti presiden,1,0,0,1,0,0,0
sok tau bilang perintah komunis kerja cina cap komunis,1,0,0,0,0,0,1
cowok ambek ya anjing jddnjdjdej galau geng,1,1,0,0,0,0,0
komisi berantas korupsi kepala daerah te angkap pilih kepala daerah langsung,0,0,0,0,0,0,0
tes tes gue cerita 2 cerita haha gue cerita dokter forensik hubung langsung makhluk gaib ,0,0,0,0,0,0,0
situs sangir jawa luas puluh delapan kilometer persegi unesco daftar waris budaya dunia 1996,0,0,0,0,0,0,0
iya ahok pimpin nista agama penjara hype e transfer protocol over secure socket layer t co yhho40qw ,1,1,0,0,0,0,1
dasar dewan wakil rakyat rampung revisi undang undang terorisme lindung segenap bangsa indonesia serang keji teroris polemik berantas terorisme,0,0,0,0,0,0,0
haram unsur najis nya,0,0,0,0,0,0,0
kaget anjir kucing masuk kamar anjing,1,1,0,0,0,0,0
jokowi mega calon presiden mundur bikin ai,1,0,0,0,0,0,1
periode impo beras garam jagung periode anggur tenaga kerja asing serbu indonesia periode ulama habib kasar zalim tuan guru cabul pakai otak,1,1,0,0,0,0,1
tamu jokowi,0,0,0,0,0,0,0
nada asing koplo bela sih nista agama durjana suruh orang aji,1,1,1,0,0,0,0
gue suka kontol sayang,1,1,0,0,0,0,0
wadaauuuwwww oi kalem oi sabar sabar tunggu gara gara sih sipit keparat kebal hukum emosi rakyat kendali jejangan strategi,1,1,0,1,0,0,0
nya banding n4d n4d talenta banget panjat sosial banget sih najis,1,1,0,0,0,0,1
44 gerombol rizieq front bela islam main isu perintah jokowi pro ai komunis indonesia,1,0,0,1,0,0,0
gila ya rezim jongos cina,1,1,0,1,0,0,0
gara gara bela dakwa nista agama remuk sukurin,1,0,0,0,0,0,1
paham komunis mata liberal radikal masjid sasar,0,0,0,0,0,0,0
titit,1,1,0,0,0,0,0
eh toilet pipis onta melipir indonesia gerombol mabuk budaya arab nya kayak ,1,1,0,0,0,0,1
turun ai komunis indonesia marah,0,0,0,0,0,0,0
modal cocot doang mas,1,1,0,0,0,0,0
biaya 4 bank asing salah info,0,0,0,0,0,0,0
ayo adakan referendum bubar dewan wakil rakyat ri komisi berantas korupsi,1,0,0,0,0,0,1
iya sih vivin tai dasar rebut laki orang ale alda rico baj ,1,1,0,0,0,0,1
harap maklum isu toku idiot ,1,1,0,0,0,0,0
tulah kening yahudi mesti ramai orang benci,1,0,1,0,0,0,0
kemarin galak galak bicara sibuk klarifikasi dasar bajing,1,1,0,0,0,0,1
rencana keroyok 4 bank asing klaim saking susah cari prestasi kali ya ,0,0,0,0,0,0,0
bikin fan fiction au jurus anggota jujur gue nikmat baca gue suppo lgbt does not t mean i not normal ya i used to it teman gue terang terang,0,0,0,0,0,0,0
kaca bolot uniform resource locator,1,1,0,0,1,0,0
bubar komisi berantas korupsi busuk,1,1,0,0,0,0,1
moga saudara saudara sadar perintah 2,0,0,0,0,0,0,0
asma dewi alumni 212 prabowo anies sandi was was balas ahok wajah foto anies sandi 1 tipe banget uniform resource locator,1,0,0,0,0,0,1
pecat masuk akal ajar jama ah ai politik pisah jama ah ulama waris nabi tegak adil alam semesta cc,0,0,0,0,0,0,0
pamer grup chat anak anak cina,0,0,0,0,0,0,0
hoi gay banci situ kafir ya nge i islam orang hijrah hijab wajib saudara iman tutup negatif dasar kaum laknatullah alaih,1,1,1,0,0,1,0
atur salah ya biar lapor agama singgung 5 agama,0,0,0,0,0,0,0
19 koruptor pribumi suruh kabur tangkap contoh nazarudin info tangkap bocor komisi berantas korupsi nazar imbal usd 1 juta jabat polisi daerah kawal nazar pesawat cerita kolombia komisi berantas korupsi bejat,1,1,0,0,0,0,1
presiden ri megawati soekarno putri unjung pamer arsip konferensi asia afrika kakak 63 kakak langsung selasa rabu 17 18 4 widya graha lembaga ilmu indonesia jaka a selatan megawati delegasi muda konferensi,0,0,0,0,0,0,0
akun siti fatimah amp komen laman ringkas parah amp bejat malu moga sehat sabar amp semangat suara,1,1,0,0,0,0,1
hatta faisal teh rani yahudi salah santun selagi hormat sudut hamba allah,0,0,0,0,0,0,0
allahu akbar rakyat front bela islam bubar gerak masyarakat indonesia copot kepala polisi daerah jawa barat selamat ulama gaduh ahok,1,0,0,0,0,0,1
rezim indonesia islam rezim amerika kristen ujung ujung islam lawan buddha lawan kristen lawan hindu senang kah,1,0,1,0,0,0,0
admin bahan indonesia cocot otak pnh nafsu kuasa,1,1,0,0,0,0,1
coba usir cina 100 rakyat negara republik indonesia gembel negara republik indonesia kayak asing asing triliun uras negara republik indonesia stop tolol,1,1,0,1,0,0,0
rezim rusak sistem sibuk cari cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,0,0,0,0,0,0,0
he decul orang pe han geng putus kontrak ent cina,0,0,0,0,0,0,0
bahas kucing jilat titit gembira banget dasar mesum,1,1,0,0,0,0,0
baris serba jaga ulama,0,0,0,0,0,0,0
salah janji jokowi tuntut paham cebong,1,1,0,0,0,0,1
ngewe wkwk ngewe ngewe,1,1,0,0,0,0,0
jalan ampera raya tulis prabowo presiden presiden tolong liput,1,0,0,0,0,0,1
kali prof balas akun akun be eriak caci amp label beliau kafir liberal jil penasaran wajah manusia akun lihat profesor kalem amp berb,0,0,0,0,0,0,0
nahdliyin setop hina hadap maruf amin,0,0,0,0,0,0,0
sompret,1,1,0,0,0,0,1
sakit sembuh gerombol kampret bongkrek sakit panik balas dendam akibat kalah pilih presiden 2014 uniform resource locator,1,1,0,0,0,0,1
bangga syukur perintah hasil ambil alih 51 divestasi saham pt fi bangga syukur mafia tambang antek orde pullulan komplot asing uras rampok k,0,0,0,0,0,0,0
5 presiden ubah terap sistem online nya izin integrasi kait sederhana proses libat menteri amp daerah sesuai cepat,0,0,0,0,0,0,0
maju anjing gue namparinnnnn looooooo berengsek,1,1,0,0,0,0,1
kepala polisi daerah babi biadab bodoh otak kali,1,1,0,0,0,0,1
putar goblok bikin emosi ya,1,1,0,0,0,0,1
teraweh sebar spoiler anjir anjir jancuk,1,1,0,0,0,0,0
tau yahudi,0,0,0,0,0,0,0
inspirasi generasi milenial generasi muda anak bangsa fokus sahaja hati hati uji a tahta waspada,0,0,0,0,0,0,0
